"Title","Last update","Geolocation","Main location","Action area","twitter account","website","Post date"
"itzMe","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://itzme.ai/","2018-02-05"
"Otus Labs","2018-02-05","POINT (-1.470085 53.381129)","","Analytics, AI/Machine learning","","https://otuslabs.com/","2018-02-05"
"Signal Media","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://signalmedia.co/","2018-02-05"
"Simundyne","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","http://www.simudyne.com/","2018-02-05"
"Singular Intelligence","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","http://www.singularintelligence.com/","2018-02-05"
"Skylads","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.skylads.com/","2018-02-05"
"Streetbees","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","https://new.streetbees.com/","2018-02-05"
"Winterwell","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.winterwell.com/","2018-02-05"
"Wrapidity","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.wrapidity.com/","2018-02-05"
"Yedup Ltd","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://yedup.com","2018-02-05"
"CENTURY Tech","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.century.tech/","2018-02-05"
"Synap","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://synap.ac/","2018-02-05"
"Tonguesten","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.tonguesten.com/","2018-02-05"
"Alpha I","2019-01-18","POINT (-0.1081254 51.5504578)","","Analytics, AI/Machine learning","","https://alpha-i.co/","2018-02-05"
"Blue Lion Research","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.bluelionresearch.com/","2018-02-05"
"Brolly","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.heybrolly.com/","2018-02-05"
"LiveMetrics","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.livemetrics.io/","2018-02-05"
"Providens","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://providens.ai/","2018-02-05"
"BenevolentAI","2018-12-23","POINT (4.469936 50.503887)","","Vertical applications, Healthcare","benevolent_ai","http://benevolent.ai/","2018-02-05"
"Fitwell","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.fitwell.co/","2018-02-05"
"Medopad","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","http://www.medopad.com/","2018-02-05"
"snap40","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.snap40.com/","2018-02-05"
"White Lab","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","https://www.wlab.io/","2018-02-05"
"Your.MD","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","http://www.your.md/","2018-02-05"
"Blippar","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","https://blippar.com/en/","2018-02-05"
"boomApp","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://boomapp.co/","2018-02-05"
"CrowdEmotion","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","http://www.crowdemotion.co.uk/","2018-02-05"
"WIREWAX","2018-02-05","POINT (-0.1277583 51.5073509)","","Analytics, AI/Machine learning","","https://www.wirewax.com/","2018-02-05"
"Graphext","2018-02-05","POINT (-3.7037902 40.4167754)","","Analytics, AI/Machine learning","","https://contexts.graphext.com/","2018-02-05"
"Sentisis","2018-02-05","POINT (-3.7037902 40.4167754)","","Analytics, AI/Machine learning","","https://sentisis.com/","2018-02-05"
"Taiger","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.taiger.com/","2018-02-05"
"Troovel","2018-02-05","POINT (-3.7037902 40.4167754)","","Analytics, AI/Machine learning","","http://en.troovel.com/","2018-02-05"
"Century Analytics","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.century.ai/","2018-02-05"
"ContextVision","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.contextvision.com/","2018-02-05"
"HealthiHabits","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.healthihabits.com/","2018-02-05"
"Lytics","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://lytics.ai/","2018-02-05"
